version,release_date
3.7.0.1,1-Mar-18
3.7.0.0,28-Feb-18
3.6.1.2,23-Jan-18
3.6.1.1,21-Jan-18
3.6.1.0,26-Dec-17
3.6.0.0,12-Dec-17
3.5.1.5,3-Dec-17
3.5.1.4,21-Nov-17
3.5.1.3,20-Nov-17
3.5.1.2,11-Nov-17
3.5.1.1,7-Nov-17
3.5.0.0,27-Oct-17
3.4.4.2,21-Oct-17
3.4.4.1,19-Oct-17
3.4.3.1,18-Oct-17
3.4.3.1,10-Oct-17
3.4.2.0,5-Oct-17
3.4.1.0,25-Sep-17
3.4.0.3,14-Sep-17
3.3.0.2,27-Aug-17
3.3.0.1,24-Aug-17
3.3.0.0,23-Aug-17
3.2.1.9,20-Aug-17
3.2.1.8,19-Aug-17
3.2.1.6,15-Aug-17
3.2.1.5,4-Aug-17
3.2.1.4,3-Aug-17
3.2.1.3,1-Aug-17
3.2.1.2,28-Jul-17
3.2.1.1,19-Jul-17
3.2.1.0,7-Jul-17
3.2.0.7,7-Jul-17
3.2.0.6,6-Jul-17
3.2.0.2,5-Jul-17
3.1.2.0,14-Jun-17
3.1.1.9,7-Jun-17
3.1.1.8,5-Jun-17
3.1.1.7,4-Jun-17
3.1.1.6,1-Jun-17
3.1.1.4,27-May-17
3.1.1.3,9-May-17
3.1.1.2,4-May-17
3.1.1.0,17-Apr-17
3.1.0.9,5-Apr-17
3.1.0.7,31-Mar-17
3.1.0.6,21-Mar-17
3.1.0.4,28-Feb-17
3.1.0.3,25-Feb-17
3.1.0.2,24-Feb-17
3.1.0.1,14-Feb-17
3.1.0.0,13-Feb-17
3.0.9.9,8-Feb-17
3.0.9.8,7-Feb-17
3.0.9.7,27-Jan-17
3.0.9.6,25-Jan-17
3.0.9.5,19-Jan-17
3.0.9.4,15-Jan-17
3.0.9.2,7-Jan-17
3.0.9,16-Dec-16
3.0.8,7-Dec-16
3.0.7.1,28-Nov-16
3.0.7,24-Nov-16
3.0.4,15-Nov-16
3.0.3,9-Nov-16
3.0.2,6-Nov-16
2.8.3,28-Oct-16
2.8.2.2,17-Oct-16
2.8.2.1,11-Oct-16
2.8.2,9-Oct-16
2.8.1.6,26-Sep-16
2.8.1.5,22-Sep-16
2.8.1.4,14-Sep-16
2.8.1.3,13-Sep-16
2.8.1,12-Sep-16
2.8.0,8-Sep-16
2.7.1.1,2-Sep-16
2.7.0.4,25-Aug-16
2.7.0.3,12-Aug-16
2.7.0.2,10-Aug-16
2.6.9,2-Aug-16
2.6.5,21-Jul-16
2.6.3,19-Jul-16
2.6.1,22-Jun-16
2.6.0,15-Jun-16
2.5.9,9-Jun-16
2.5.8,2-Jun-16
2.5.6,31-May-16
2.5.5,24-May-16
2.5.3,19-May-16
2.5.1,28-Apr-16
2.5.0,27-Apr-16
2.4.9,20-Apr-16
2.4.7,4-Apr-16
2.4.6,29-Mar-16
2.4.5,28-Mar-16
2.4.4,21-Mar-16
2.4.2,9-Mar-16
2.4.1,1-Mar-16
2.4.0,22-Feb-16
2.3.9,19-Feb-16
2.3.8,17-Feb-16
2.3.7,17-Jan-16
2.3.6,30-Dec-15
2.3.5,26-Dec-15
2.3.4,25-Dec-15
2.3.3,9-Dec-15
2.3.2,3-Dec-15
2.2.9,28-Nov-15
2.2.7,9-Nov-15
2.2.6,3-Nov-15
2.2.5,26-Oct-15
2.2.3,13-Oct-15
2.2.2,6-Oct-15
2.2.1,5-Oct-15
2.1.9,23-Sep-15
2.1.8,18-Sep-15
2.1.5,16-Sep-15
2.1.4,15-Sep-15
2.1.3,2-Sep-15
2.1.2,28-Aug-15
2.1.1,25-Aug-15
2.1.0,24-Aug-15
2.0.9,12-Aug-15
2.0.8,5-Aug-15
2.0.7,4-Aug-15
2.0.5,29-Jul-15
2.0.4,24-Jul-15
2.0.2,23-Jul-15
2,22-Jul-15
1.4.0,12-Jun-15
1.3.4,16-Apr-15
1.3.3,6-Apr-15
1.3.2,12-Feb-15
1.3.1,3-Feb-15
1.3,30-Dec-14
1.2,15-Dec-14
