version,release_date
3.10.2,27-Feb-18
3.10.1,22-Feb-18
3.10.0,16-Feb-18
3.9.1,18-Jan-18
3.9.0,11-Dec-17
3.8.2,28-Nov-17
3.8.1,10-Nov-17
3.8.0,7-Nov-17
3.7.0,23-Oct-17
3.6.6,19-Oct-17
3.6.5,14-Oct-17
3.6.4,11-Oct-17
3.6.3,6-Oct-17
3.6.2,3-Oct-17
3.6.1,28-Sep-17
3.6.0,21-Sep-17
3.5.2,30-Aug-17
3.5.1,27-Aug-17
3.5.0,23-Aug-17
3.4.2,12-Aug-17
3.4.1,8-Aug-17
3.4.0,5-Aug-17
3.3.1,25-Jul-17
3.3.0,19-Jul-17
3.2.1,13-Jul-17
3.2.0,9-Jul-17
3.1.0,27-Jun-17
3.0.2,22-Jun-17
3.0.1,20-Jun-17
3.0.0,19-Jun-17
2.2.2,5-May-17
2.2.1,25-Apr-17
2.2.0,23-Feb-17
2.1.9,21-Feb-17
2.1.7,17-Feb-17
2.1.5,15-Feb-17
2.1.3,8-Feb-17
2.1.2,7-Feb-17
2.1.1,30-Nov-16
2.1.0,26-Oct-16
2.0.7,21-Oct-16
2.0.6,12-Aug-16
2.0.5,22-Apr-16
2.0.0,21-Mar-16
1.0.2,1-May-15
1.0.1,20-Mar-15
1.0.0,22-Feb-15
